tweet,label
الله غلى المسلمين فى توادهم وتراحمهم,1
نعم اردننا غير قابل للتلاعب بارواح ابناءه,0
اللهم اصلح سرى و علانيتى,1
حسيت كله تمثيل وسخافة و غباء,0
ما في احلى من انه الواحد يوكل وينام,1
اللهم ارزقنا ان نكون مثلهم,1
ان الله لا يضيع أجر المحسنين,1
لا للمفاعل النووي,0
ابو الشباب راعي العود ليش ماوزنه في البيت غباء,0
الله معكى يا حجه,0
للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي كما اعلنت هيئة الطاقة يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضا بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل,0
اللهم اصلح حال المسلمين و اجعلهم من الرباتين حتى نحرج مما نحن فيه لانه ان خلصت النوايا صلحت الاعمال,1
ان النجاح يحتاج الي قلبا ثابت و عقلا راشد و طموحا واعد و تحدي كاسر,1
عنجد انو بالة,0
والنعم والاخلاق والنعم والصداقه والنعم ف الاخوه,1
شاركونآ الخير,1
حبة بنــادول,0
بطني وجعتني من الضحك,0
لوين ندكم توصلونا و الله هموم المصاريف قتلت الصغير قبل الكبير الله ياخذ حقنا منكم و لا يباركلكم,0
ما اروعهم,1
اللهم اكرمنا برضاك,1
سخافه بكل ماتحوي الكلمه من معنى,0
لازم كل واحد فينا يفكر بشكل ايجابي و يبعد عنه السلبيات,1
محششين خخ,0
جمال الصفحة من جمالكم و رقي اخلاقكم أنا متأكد ان صفحتنا ستعجبك فأنضم الينا و ادعو اصدقائك فنحن نسعد بك و بهم,1
كرامتى اولى,1
الله لا يعطي العافيه ولا الصحه للاخوان المفلسين الله لا يوفقهم ولا يجمعهم الاخونجيه هم وعيالهم على صحن طبيخ الله يجعل السرطان يمشي بجسم الاخوان المفلسين مطايا وكلاب الفرس,0
اللهم قني شر نفسي,1
والله هذا الى حصل معانا ومع ناس كثيرة بدل حب الحرام بحب الحلال يبدل الله كيانك,1
الحل الوحيد هو القرب من الله وذكره الا بذكر الله تطمئن القلوب قال الله تعالى,1
اتحزن فإن الله يدافع عنك ، والملائكة تستغفر لك ، و المؤمنون يشركونك في دعائهم كل صلاة ،و النبي صلى الله عليه و سلم يشفع ، و القرآن يعدك وعدا حسنا ،و فوق هذا رحمة أرحم الراحمين,1
الاولى من تغيير العالم تغيير النفس التى بداخلنا,1
مسوي انه مندهش,0
ربنا يبارك فيك ويبارك فى كل إللى ساعدك الحمد الله وسبحان الله,1
كلب واطي,0
الحق مش على لجنة التحكيم الحق على الاغبيه المشتركين,0
اللهم اصلح لنا حالنا,1
كلمات حلو,1
شي مؤكد انك حمار,0
ان شاء الله هنكمل مشوار النجاح,1
الحمد لله الذي هدانا لهذا,1
ده سوسن خالص ينهار اسود,0
عيب يغني ده السادات وده ابن مره,0
وربي كلبتي جات جلست عندي أول ما فتحت هالفيديو ويوم خلص التفت لها إلا وألاقيها نايمة,0
جهنم وبأس المصير,0
انبسط يا عم و افرح,1
اللهم اني اسالك اخلاص النية و كرم الطوية,1
اقلب وجهك,0
و خير الابتسامة,1
الظاهر عقلك تافه من اصحاب العقول المقفلة,0
أسأل الله أن يرزقني من يدعو لي في ظهر الغيب,1
لا احدالاخوة,0
صباح العسل,1
يارب اجعلنى من المصلحين,1
الخشوع هو المرحلة التالية للتركيز والتركيز يأتى بإطالة القراءة والتدبر واطالة الركوع والسجود,1
اصبحنا و اصبح الملك لله اللهم لك الحمد احييتنا بعد ما متنا و اليك النشور,1
من يتقي الله يجعل له مخرجا,1
ثقيلين دم كثير,0
من اين لنا المياه لتبريد المفاعل النووي فهو يحتاج الى نصف مليون مترا مكعبا من المياه لتبريده سنويا على الاقل والقاصي والداني يعرف اننا في بلد يعاني من شحة المياه اما كعلوم و معرفة بالعلوم النووية و الطاقة فانا احب ان يتعلمها المتعلمين في بلادنا بدءا من جدول مندلييف للعناصر مرورا ب العناصر المشعة و نظرية اينشتاين للطاقة و نظريات الفيزياء الكمية و البحث في عمر البروتون و النيوترينو والكواركات واللبتونات والuncertainty principle و النظائر المشعة و تفتيت الذرة و اشعة جاما و بيتا و الفا و الراديوم و البلوتونيوم و البروتونات و كافة النظريات بما فيها انواع المفاعلات النووية و تجارب الامم فيها مثل اليابان و المانيا و روسيا و فرنسا و امريكا و للعلم فقط انها علوم نظريا سهلة و بسيطة و يستطيع فهمها حتى الانسان ذو الخلفية و الرغبة العلمية و على جميع او على الاقل جزء من علمائنا ان يقرروا المسار الذي يجب ان نسلكه و نسير فيه بهذا الخصوص بموازنة المخاطر و المكاسب و بعدها و على اساس النتيجة و الفائدة الواضحة يتم الاعتماد لقرارهم ان كان سلبا ام ايجابا,0
البرنامج الي بعد سوبر ستار الي يقلده دم ثقيل,0
جميل جدا,1
رب فعل صغير يستعظمه غيرك و خاصة ان كنت تمثل الاسلام,1
مررة دلوع,0
مزعج الي كثيير,0
ده عمله نادرة الاخلاق ملهاش علاقه بالدين,1
المشكلة ناس بتسمع حالها بالحمام هيه وبتغني وبتقتنع خلص,0
مصر مش عايزة رئيس يحكمها المصريين شعب مطحون عايز رئيس يحقق له مطالبه ولا يعارضه زهقنا بقى خلاص,0
الله يهدي التائهين والضالين الى طريقه,1
انسان غريب,0
أفعال لا تضاهيها أقوال,1
و الله ثقف نفسك ده بيقول كلام زى الفل,1
يع حاسة حالي بدي استفرغ,0
عظيم هو إسلامنا،,1
اذا اليابان اكلت هوا من النووي كيف احنا,0
نحن في زمن يهان فيه المرء ويكرم فيه الكلب,0
جد اشي بخزي,0
مش شايف العالم مش ملاقيه الخبز كل واحد بشتغل على سياره رح يوكل هوا و بارتفاع المحروقات الاكل و الشرب رح يرتفع,0
اللي موافق عالمفاعل يبنيه جنب داره ما يسطح الواحد غير المتحذلقين اللي يخلوا حالهم مثل ابو العريف ما حد يفهم غيرهم رابع افقر دوله في العالم في المياه وتبنى مفاعل نووي استنوا لما يطورو مفاعلات نووية صحراوية وبعدين اشطحوا,0
يا اخوان انتبهوا الى انة اكثر المشتركين المايعين من لبنان او سوريا وهذا حالهم لان تركوا ملة الاسلام وتبعوا الميوع مع الشيطان,0
ليش معصب يا عدولة,0
عمل السريرة هو العمل الخالص لله اللهم ارزقنا عمل السريرة,1
تذكر من كذب يكتب عندا الله كاذب لا اله الا الله اما من يتحرى الصدق يكتب عندا الله صادقا,1
و يرزقكم من حيث لا تعلمون,1
ياا الله ما احلاه من خبر والله فرحتوني,1
بارد ومصقع,0
انا لله و انا اليه راجعون و الله يستر هالبلد,0
ااه ياشويه عاهاات,0
أحسن شيء العمل الذي يؤدي للاستمرارية,1
يا ثقل دمه الاصلع,0
اللهم وفقنا لما تحب و ترضى يا رب,1
اللمة هي احلى اشي بالافراح,1
اللهم انصر المسلمين و المسلمات في كل مكان,1
ما شاء الله والله انها امر متل الكرتون,0
و شباب صايع مو ملاقي ياكل,0
يا فضيحتك يا لبنان بهيك عالم اما هيدا سكت اني ولك دخيل الله خليك ساكت,0
نفسي يوم اكل وانا مش مستعجلة,1
سبحان الله و له فى خلقه شؤون,1
ربنا يباركلك يا أستاذي و يعزك,1
والله تحشيش,0
غباء في غباء لان نفس الحركه صارت في american idol يعني قلدنه البرنامج وبعد التصرفات اووف,0
يارب احمينا من شرور انفسنا وسىئات اعمالنا,1
صباح الوجه الصبوح,1
اللهم اجعلني من يتشرف به الاسلام,1
مش حلو,0
اقطع راسها وخلص,0
الحروف عنده مزغوبه,0
أهلا وسهلا بك بيننا يا طارق,1
عيب عليك ماتستحي,0
اللهم القلوب الضاله,1
عــرب جــرب,0
كنت اشوف الاجانب اقول موسوسين,0
انشالله انو يطلع كلام فاضي لانو اذا ضربت سوريا الاردن رح اتصير حرب عالمية ثالثة وما رح اتخلص غير لما نتخزق,0
لو يطلع عليهم من مخيم اربد و من مخيم الحصن و من مخيم الزرقا و من مخيم عمان و من مخيم البلقاء و من مخيم الشهيد عزمي المفتي بفضحو عرضاتهم كلهم,0
دلوع,0
الذي طبعه رائع ما يمكن ان يتغير راح يبقه رائع,1
ربنا يقوينا ويقدرنا,1
فعلا اللي بيســتحوا ماتوا,0
اللهم معنا علي طاعتك ورضاك وقوي عذامئنا,1
يا لطيف الله يلطف فينا و يصلحنا ظاهر باطن,1
بعن الله ابوك انت وعدوله يالسامج,0
على فكره المعلقين هدول ولاد حرام,0
الكلب حده روعه,0
الله اكبر شو هيدا اكل الرجال,0
روشتة علاج لأخطر الإسقام بارك الله في كاتبها,1
يارب كرهنى وابعدنى فيما يغضبك,1
للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي كما اعلنت هيئة الطاقة يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضا بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل,0
الى ابن بشار الاسد كس اخت ابوك,0
اهلا بيك فى دين الله ربنا يثبتك ويزيدك ايمانا انا فرحانه بيك كتير,1
ان من صفات الاسلام الامانة,1
يا سلام على الوفاء,1
وعجلت اليك ربي لترضي احبك ربي,1
يعني عدولة اللي ابصر من وين جاي كيف وصل عشان تشوفة لجنة التحكيم مبين عليه مجنون و مش شايف اشي قدامة,0
اش التفاهه هاذي,0
يع بتقرف انت وسخ,0
ليتنا نستطيع الابتسامه في الاوقات المؤلمه,1
استغفر الله مجانين يروحون سوبر ستار,0
الله يبارك فيك جمــيله,1
تابعت هذا الجوال من بداية صدوره وقبل اقترابه للعالم العربي فعلا يستحق كل هذه الاهمية,0
ايس شراع القرف,0
هادي الاخوة الصادقة,1
صلآة آلفجر,1
هالانسان مجنون لابس بدلة رياضة وجاي يغني حتى لو صوتك زين اللبس عدل,0
ربنا يثبته,1
يا ترى الحكومه بدها تزيد دعم المواطن الي الله يكون في عونه,0
صحح الخبر مش تحرير المشتقات النفطية و إنما توليعها,0
ركز في الإجابه وقول يارب وخد قرار,1
كل الاحترام,1
يلعن ام اللي باخر المقطع حق عدوله يا هو ثقيل دم,0
إعجبه إطعم آكيد حمضيات,0
الحمد لله الذى لا يحمد على مكره سواه,1
لنفترض جدلا ان لا اضرار صحية و بيئية سينتج عن بناء مفاعلات نووية سلمية ، دعونا نفكر في الكلفة من حيث اولا كلفة بناء عالية جدا لعدم امتلاكنا لهذه التكنولوجيا على شكل ديون تثفل كاهل العشر اجيال القادمة، ثانيا لنفس السبب سنستورد خبراء للتشغيل لسنوات طويلة مما يزيد كلفة الطاقة وليس العكس ناهيك عن حصول اي اخطاء مفترضة مستقبلا ثالثا اين هو المكان البعيد عن المدن في الاردن واين مصدر المياه الكافية للتبريد رابعا من حق المواطنين واصحاب القرار الحصول على تقرير منشور للاثر البيئي مسبقا بنفس الوقت نستطيع الحصول على نفس كمية الطاقة من الصخر الزيتي الذي نمتلك منه احتياطي هائل ومن الغاز الطبيعي المؤمل مستقبلا ومن الطاقة الشمسية ومن طاقة الرياح بكلف نسبيا اقل بكثير من النووي دون اعباء ديون اضافية,0
الله اكبر ما احلاكم وما اشجعكم,1
مش النووي ان صار وما اظنش اسرائيل تسمح باقامته بهالسهولة هو اللي بيعني انو احنا متطورين او متقدمين,0
يا رب خد بياايدينا يااجبرنا ياجبار السموات والارض,1
توكلت عليك يا الله,1
بالفعل لازم كل واحد بيتكلم عن الدين اقل مافيها يلتزم باقل مبادئه عشان يكون قدوة مش ييخلي الناس تقول هو ده الدين,1
تسلم صرمايتك,0
صوتك موش حلو,0
اللهم اكفني بحلالك عن حرامك واغنني بفضلك عمن سواك,1
يأتيك بالأرزاق من حيث لا تدري,1
بيه الزناخه,0
انت واحد ما بتستا هل الجزمة,0
قصدك اخر ما توصل اليه العقل البشري من تفاهات,0
والله نفسى بس الواحد بيجى علية فترات ينسى يعمل اية بجد,1
اتفه برنآمج عآلمي,0
التاسعه تبي تكسر الكميرا,0
كلام حقيقي,1
مفيش اكرم ولا ارحم من ربنا,1
نحن نرفض المفاعل النووي,0
مش طبيعي سماكة الدم شو ها عدولة خرب المفطع لشو المبالغة والاوفر يعني,0
هه ولكو ما إحنا ميتين من دون هالوسطه,0
لا للمفاعل داخل الأردن,0
اعطيه علي راسي هدا الصح ياحاجه الله اكبر,0
مقرف جدا هذا الشخص,0
شكلها ملجلجه,0
شو الاشي الي بيضحك ما ازنخك,0
بس انا دايم احسها خشنة و رجال,0
لو يبطلو سرقه بهالخزينه و الله الشعب ليعيش و لكو ارحمونا حرام عليكم,0
بيخزي,0
والله الرساله دي جاتلي في وقتها قولت اكيد ربنا بعتهالي الحمد لله وخات القرار,1
للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية ولكن الأردن لا يمتلك موارد مالية وهذا يعني الحاجة لشريك أجنبي كما اعلنت هيئة الطاقة يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضا بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل,0
Noاكيد بقرف,0
هه وهابي عفن ومكبوت تفكيرك محصور بين فخذيك فقط لاغير الجنة اللتي ستدخلها أنت لا أريد دخولها، جهنم أشرفلي وأهون علي من أن أكون مع أحد الوهابيين المنحطين لواطيي الأطفال,0
لا وحده مع القران هو انيسي ام الغرام فلا احتاجه مطلقا,1
اصلا سوبر ستار للعاهات,0
الله يعطيك الصحه و العافيه,1
اللهم ارزقنا الصدق و الاخلاص,1
هذا اكيد,1
حفظ الله وطننا من ايدي المنافقين المتأردنين,0
يارب قويني,1
العرق كل شوي يزييد,0
اللهم انر قلوب المسلمين و ايقظهم من غفلتهم,1
من اجل هذا تم قدوم الف من الجيش الامريكي,0
كلهم معندهمش احساس,0
سوبر سطار ولا بلاش,0
اللهم انا نعوذ بك من الرياء و النفاق,1
يا من شق البحر لموسى حتى خرج,1
من ترك شيئا لله عوضه الله خيرا منه,1
اه يا ابو القمل,0
مشان الله حد يعمله هوشة بدنا نعطللنا شوي,0
استخفف التحكيم,0
رهيب حسن تعاالى تعاالى,0
من جد سوبر أبقار,0
اللقطة الكزميدية بالآخر دمها تقييل,0
ما احسنهم الله يكون معهم,1
ستجد مساعدة الله وعونه لك عندما تكن النية صادقة,1
اللهم ثبت قلوبنا على الايمان,1
الاردن لا تمتلك اي الخبرات الفنيه في انشاء او صيانة او تشغيل المفاعلات النوويه لاردن ليس لديها سوى شهادات دكتوراة في هذا المجال نظرية بحته ان انشاء مفاعل نووي يعنى مقامرة كامله بمئات الملايين و المضحك في الموضوع ان بداية المشروع ستكون انشاء مفاعل تجريبي او تعليمي يتبع لهيئة الطاقة النوويه اليس الاجدر بهكذا مفاعل ان يتبع لاحدى الجامعات ؟ علاوة على ان كل هيئة الطاقة تم انشأها رضوة لفلان وعلنتان الاولي يا سادة ان يتم طرح انشاء شركة للتنقيب عن اليورانيوم وبيعه و لتصبح الاردن دولة مصدرة لهذه المادة امر اخر كثر الحديث مؤخرا عن انه يوجد في الاردن بترول و بكميات على الاقل تكفي استهلكنا المحلي,0
أما وهابيتك فحدث ولا حرج الناس يقادون إلى المساجد غصبا ويجلدون كالأبقار إن هم أبوا,0
وفقكم الله,1
اترك ما تهوى لاجل من تخشى,1
خت قرار كتير وبرجع تاني بحاول اتغير ومش عرفة,1
تم تنفيذ الحكم الي في الرد الاول وتم اعدام اول راس والباقي بالطريق,0
والله الواحد بيدعي كثيرا ان ربنا يجعلنا في طريق مستقيم,1
سخافه مالها حدود,0
يلعنك نذل,0
ماعندك شرف,0
فقد عجزت الكلمات,0
يا رب ما لنا سواك,1
والله رفعتوا راسنا يا شباب الله يقويكم,1
شو عاجبك فيها متلا ؟ لتكون سيارتكم,0
الابتسامه جميله,1
من كانت له عزيمة لن ييأس ، ومن ابتغى الأجر من الله ثابر، حياكم الله اخي مؤمن,1
ولا شكل ولا صوت منين جايبينهم هالكائنات الغريبة ااه يابطني بس,0
ياحيوان,0
حسبنا الله و نعم الوكيل فيكم و في مجلس النواب الحالي و الذي لا يمثل الشعب الاردني فهم غير سأئلين عن الشعب يبحثون عن مناصب وزاريه و رواتب خياليه بينما المواطن الاردني طفح الكيل معه و اصبح لا يطيق الحياه,0
اللهم رزقنا مكارم الاخلاق,1
صباح الدرب للجنة,1
الله عليك بجد رنا يهدينا كلنا ويهدي شباب المسلمين جميعا يارب العالمين,1
اذا لم تقل لا للظلم فسيستمر إلى الابد,1
برنامج ساقط,0
يرزق من يشاء بغير حساب,1
لأن ما بعتقد انو في هالقد عاهات ما بيعرفوا انو صوتهم نشااز لأنو كتيير نشاز وازا في رح تكون حالات استثنائية مو بهاد الكم الكبير,0
تخسا هما وكل واحد بشد عأيدهم مشكلتو شعب سوري يدعون البراءه وهم في قمة النذاله,0
خرى عليك,0
إنما المؤمنون أخوة,1
سبحان الله مالك السموات و الارض,1
خلتنى ابتسم رغم انى مكتئبة جدا,1
هذا الشخص هو انت يامصطفى,1
اهما ودهم يروحون النار لكن النار مارضت فيهم,0
الله يشافيك و يعافيك من كل داء وهامة أخي سيد الوكيل,1
مجانين أحد يضحك عليك وأنتم قدامه وتكمل,0
اللهم اهدنا الى صراطتك المستقيم,1
ربنا يكرمك على سعيك وحبك للمساعدة,1
يا مقلب القلوب ثبت قلوبنا على الاسلام,1
تسلم انت و افكارك,1
كلام جميل الكرامة أفضل و ابقى للإنسان,1
حلوه قوي يا د عمرو و لو كل واحد تيقن من هذه القصه لن يوجد حاسد و لا ظالم و لا متواكل اللهم ارزقنا رزقا حلال طيبا اللهم آمين,1
والله حرام يعني مايدرون انهم مصخره,0
لو كاكا بالبرازيل كنت اعطيط لايك بس هيك فشر,0
بسس مقزز,0
رائع ولاجمل حب ربنا,1
كسم البرامج العربية متخلفة بنت شرموطة,0
اللهم ازرقنا رزق حلالا تغننا به عن حرامك سبحان القادر المقتدر بيده ملكوت كل شيء,1
شغل مشغول قرف يع,0
جورج وسوف حلب مو طبيعي,0
الظاهر اهلها مفقعين وجهها قبل ما تجي ومغطيه الفلعات,0
سبحان يهدي من يشاء ﻻإله إﻻالله محمدرسول الله,1
اننا نعيش في زمن بلا رحمه,0
وبالمناسبة، اذا على مصادر الطاقة، فالاردن غني بالزيت الصخري، وفش داعي لمصايب جديدة ع البشر والبيئة,0
السعي وراء الرزق عبادة و جهاد,1
فعلا الطاقة الشمسية هي البديل و ليست النووية لان حتى الدول المتقدمة صارت تتخلص من النووي و تتجة للطاقة البديلة و خصوصا احنا الاردن بلد مشمس عالطول السنة و الكلفة ما اتوقع اكثر من الطاقة النووية,0
الله يثبتك و ينور طريقنا,1
ربنا يعيننا علي نفسنا,1
الحمد لله الذي رزقني بالإسلام,1
احنا ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا و بكرة بذكركم و سألوا الباص السريع الثقة معدومة القمح فاسد المصفاه مش حسب المواصفات الخضار و الفواكه مواد كيماوية شوارع مش مصانة حفر و مطبات الخ الافضل استغلال الطاقة الشمسية او الريح او الماء ليس هروب من التطور و انما الابتعاد عن الفشل الأكيد عبر التجارب,0
و تربت على كتوفنا و تشحننا بالتفاؤل أيضا و صباحك أسعد,1
يمكن امركا والصين الي بتحكي عنها مساحتها قد الأردن بمية مرة يعني لو صار تسرب نووي او اي مشكلة بتنحل اما الأردن اي مشكلة بتاثر على البلد كلها بعدين احنا حكومتنا خلصة كل أنواع التطور و ضايل عليها بس تعمل برنامج نووي و بتصير زي امريكا و بجوز يعطوها حق النقض,0
نحن نحبك في الله و ندعو لك بظهر الغيب,1
انتو كلاب ازى تسو المصحف بى كلابه زى ده,0
اصواتهم مع التوتر خربت,0
انا احب هذا الكاتب,1
اخر واحد حسسني اني لازم اطرش او اروح الحمام,0
هه هه بكفي القعدة تبعته,0
فشرت عينك,0
طيب ليه السخريه دى ماكنا كويسين,0
كلنا ما انتصرنا على نفسنا وعلى الحاجة ددي إلي متعبتنا ومبعدتنا عن الله ،,1
الماء اساس الحياه,1
بدك الصراحة و بدون زعل جهنم و الزبانية من الملائكة تنتظرك تموت لتشرب من فروج المومسات و صديد اهل النار ان شاء الله يا اوباش سوريا,0
الله ع الكلام الجميل,1
حرام,0
فاشلين الى ما لا نهاية,0
قول يارب وخذ قرار,1
حسبنا الله و نعم الوكيل في اناس همهم تجويع الشعب,0
تحياتي ياشيخ,1
والله اول واحد سمعته منهم احسب سمااعتي خربا يابطني من الضحك والله زااحفين,0
ونشوف اغلى الاحبة في الروضة الرحيبة,1
السلام عليكم الحقيقه انا لا اعرف شو وقاحة هاي اللجنه المشترك يعطي ما عنده من مواهب هذا ما عنده وهم يعطون ما عندهمما,0
اكيد لا الله لا يحرمنا من هالنعمة العظيمة,1
طول عمرك تخاف من الحب أجل,0
شفتها اقول وشذا الكيك,0
لعن الله المتشبهين من الرجال للنساء,0
قصة جميلة تعلم الناس كمان الامانة لان اذا اخذ القليل اخذا الكثير,1
مسخره والله,0
اللهم اصلح حالي و احفظني و نور قلبي و اجعل طريق الخير طريقي و اجعل عملي خالصا لوجهك الكريم و توب علي و اغفر لي زلاتي,1
بعئد,0
ربنا يقويكى على اخد القرار الصح واحسنى الظن بالله وتوكلى عليه وربنا يقويكى على ضعفك ياارب ويعدك عن الغلط ده,1
صباح كل جميل في هذا الكون,1
سوريا تعرضت لمؤامرة والامر المحزن ان ولاد سوريا انزلقو فالمؤامرة هاذي والشنيعة,0
الاخلاص اللهم انا نسالك الاخلاص فى القول و العمل و السر و العلن,1
هذه البراامج اللي تخلف العاهات للفن الهابط فن اليومين هذا,0
الحمد لله على القضا و القدر,1
شو هالغباء فضحتنا,0
وعلي الله قصد السبيل,1
يارب يتقبل منا والله العقل مو فاضي والقلب مكسور,1
سأبقى رائعا معك إلى النهاية إن بقيتي رائعة معي إلى النهاية,1
شو هاد البرنامج معقول عرضوه على القنوات,0
انا دايما فرحان و مش سائل بالدنيا و الحمد لله,1
تضحك كانها مفجوعه من شيئ,0
اخر واحد يادلوخ ياحمير تمثيل,0
العاهات اللي عندهم ياناس رووح موتو ابرك لكم,0
الثقة باللة ثم النفس ويارب اجعلنا من يغير الناس الي ما ترضية,1
صدقت والله انت تريد وانا اريد والله يفعل ما يريد,1
ربي ينعم علينا بنعمة الخشوع,1
لا بقلو بيضه حكي فارط احنا الاردنيه ما حد بيطلع معنا براس,0
كلامك جميل ورائع,1
ربنا يتوب علينا من المعاصى,1
مش عارف كيف اهلهم سمحولهم يقدمو في البرنامج هادول شغل بطون,0
اشاعه,0
و الله حرام الناس مش لاقيه توكل حتى ترفعو البنزين,0
خلق الايثار,1
كلام بليغ اللهم أرزقنا الزوج الصالح من يعرف معني رفقا بالقوارير,1
يا رب كن لي وكيل,1
والله انا خايف انو طخوا بعد هاي الصورة,0
يعني هيك برامج بتبين للناس وين صرنا و كم صارت نسبة التخلف بين شباب امتنا,0
باللــه عليكم ألم تستحيوا من انفسكم قبل قدومكم الى هذا البرنامج ثم الم تعلموا ان هناك مسابقات لانكر الاصوات في قناة اخرى,0
هه والله صدقتي همة اصعب شئ الستين سنة الاوليات,0
صراحة الارادة و القناعة هيا الغنى الاكتفاء,1
ما شاء الله العطلة مأثر عليكوا كتير صبايا الكل بحكي حبيبتي وحبي وبلمدرسة كل واحد بكشر من جهة,0
يعني هي ما راح تعتزر,0
ربنا يقدرنى ويعفو عنى,1
لا طبعا التقرب الى الله هو خير علاج للحالات النفسية,1
من يستمتع برؤية الناس في مواقف محرجة فهو سادي و غير اصيل و نفسه ضعيفة و مريضة,0
معظم اصحاب محطات الوقود و وكالات الغاز متنفذين لقد زاد الغني غنى و الفقير فقر,0
فعلا البت جده لما تحتاج ليه هو الانسان الصادق و هو البستاهل تضحي عشان,1
بعين الله يا امال كلهن ستين سبعين سنه وبمضن وبتهون,0
اللهم اني اسألك خشية في السر و العلن,1
نا بدي نموذج لسبونج بوب هه,0
سبحان الله اللهم أرزقنا الطمأنينة و اليقين,1
معلومه ممتازه,1
اخر واحد اش فيه؟ مجنون؟؟ المفرووض اللجنة تمنع المجانين,0
والله حرق لاخوات الكلب,0
مش عارف كيف الناس بتحبك يا زلمة؟,0
تبارك الرحمن اللهم زد فينا وبارك لنا ياارحم الرحمين,1
استعينوا بالله يا مسلمين,1
اللهم إني اعود بك من الذنوب التي تزيل نعمتك وتحول عافيتك وتحبس رزقك وتعجل بغضبك,1
يلعن اخت اليهود اذا بدهم يرجعو شبر من فلسطين ل هاالمنا,0
وسبب برفعة ضغطك,0
بارك الله فيك أنانضال فدعولي بزوجة صالحة,1
كلام ما في جدل,1
والله انك مسخره يا عجوز,0
الحمد لله على الفهم,1
أفتخر إني مسلم نعمه من نعم ربي,1
اصلا هدا يمسى مرض الرهاب الاجتماعي خجل رجفة,0
